car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine_in_cc,Seats,manufacture,company_name
Compass 2.0 Longitude Option BSIV,1003000,86226,Diesel,Manual,1st Owner,1956,5,2017,Jeep
Duster RXZ Turbo CVT,1283000,13248,Petrol,Automatic,1st Owner,1330,5,2021,Renault
Camry 2.5 G,1640000,60343,Petrol,Automatic,1st Owner,2494,5,2016,Toyota
Jazz VX CVT,777000,26696,Petrol,Automatic,1st Owner,1199,5,2018,Honda
Polo 1.2 MPI Highline,515000,69414,Petrol,Manual,1st Owner,1199,5,2016,Volkswagen
Vento 1.2 TSI Highline AT,766000,49719,Petrol,Automatic,1st Owner,1197,5,2017,Volkswagen
Vento 1.2 TSI Highline Plus AT,758000,43688,Petrol,Automatic,1st Owner,1197,5,2017,Volkswagen
WR-V VX Diesel,1160000,14470,Diesel,Manual,1st Owner,1498,5,2021,Honda
City i VTEC CVT SV,699000,21429,Petrol,Automatic,1st Owner,1497,5,2015,Honda
Duster Petrol RXS CVT,753000,31750,Petrol,Automatic,1st Owner,1498,5,2017,Renault
Baleno 1.2 Alpha,643000,38203,Petrol,Manual,1st Owner,1197,5,2017,Maruti
City i VTEC CVT SV,543000,110284,Petrol,Automatic,1st Owner,1497,5,2014,Honda
XUV300 W6,862000,10381,Petrol,Manual,1st Owner,1197,5,2020,Mahindra
Compass 1.4 Limited Plus BSIV,1678000,32378,Petrol,Automatic,1st Owner,1368,5,2019,Jeep
City V MT,1003000,38906,Petrol,Manual,1st Owner,1498,5,2020,Honda
Grand i10 AT Asta,563000,59313,Petrol,Automatic,2nd Owner,1197,5,2016,Hyundai
i20 1.4 Asta,667000,85672,Diesel,Manual,1st Owner,1396,5,2017,Hyundai
Ciaz 1.4 Delta,673000,34971,Petrol,Manual,2nd Owner,1373,5,2017,Maruti
Micra XL Optional,321000,35894,Petrol,Manual,2nd Owner,1198,5,2015,Nissan
